Country,Fertility,Year,Value,Development,longitude,latitude
Qatar,3.3659999999999997,2012,163219.4919900088,Developed,51.19794918743203,25.318528486425382
South Korea,2.008,2012,33557.128719643435,Developed,127.76224551357647,36.402386712544114
Romania,1.828,2012,19809.187509160696,Developed,25.09415820156329,45.82454894397586
Russia,1.65,2012,24303.47265625,Developed,98.6704990698032,59.039434214106194
Rwanda,6.604000000000001,2012,1449.602430370234,Developing,29.91943968176408,-2.014687460047154
Saint Kitts and Nevis,2.95,2012,23159.654358133317,Developed,-62.74560385895787,17.314736299587768
Saint Lucia,3.348,2012,13288.892936000517,Developed,-60.9689510935251,13.895749185129906
Saint Vincent and the Grenadines,3.194,2012,11052.908566157052,Developing,-61.19376635439304,13.254808122970651
Samoa,5.401999999999999,2012,5295.363087887821,Developing,-172.44107655740137,-13.634252953274622
San Marino,1.46,2012,52759.38333852758,Developed,12.461278349581722,43.942820729097896
Saudi Arabia,4.558,2012,54696.215299765776,Developed,44.6009581782256,24.136038144757897
Senegal,5.744,2012,2774.647023557562,Developing,-14.610875368352303,14.228861491763402
Serbia,1.8240000000000003,2012,13933.83061810575,Developed,20.85677444395745,44.02679870131969
Seychelles,3.18,2012,22183.479310969386,Developed,55.47250789595527,-4.660002318822744
Sierra Leone,6.116,2012,1385.227366821375,Developing,-11.78656695731115,8.561330384750587
Singapore,1.802,2012,82064.96119108364,Developed,103.81025757634052,1.3528251890006349
Slovakia,1.732,2012,26994.057749634438,Developed,19.58101536249097,48.69808390520484
Slovenia,1.6019999999999999,2012,29042.82027296413,Developed,14.89063689997378,46.13759229564504
Solomon Islands,5.442,2012,2344.6579490228005,Developing,160.16475795033884,-9.613104734596517
Somalia,7.306,2013,824.8161327652705,Developing,45.40037867243972,6.524534573103924
South Africa,3.56,2012,13138.029852918016,Developed,24.75252746489084,-28.55361930679731
South Sudan,3.83,2012,1435.6792329042803,Developing,30.3851856901788,7.657782041763295
Spain,1.674,2012,31720.273815697223,Developed,-3.6516251409956975,40.36500833668384
Sri Lanka,2.686,2012,10319.396163695614,Developing,80.66931169770622,7.696630939329944
Sudan,4.846,2012,3917.82055664063,Developing,29.951458283594064,15.67060230984256
Suriname,3.092,2012,15308.156935428771,Developed,-55.855514311561286,4.098723595920171
Eswatini,4.754,2012,8027.305488282402,Developing,31.510685746082007,-26.562540935608705
Sweden,1.832,2012,45432.43196927608,Developed,17.062431988004956,62.73420986108448
Switzerland,1.6179999999999999,2012,59440.91586076658,Developed,8.286928794895285,46.73678128684938
Tajikistan,4.402,2012,2722.1670055884874,Developing,70.94215281065698,38.56933138382972
Thailand,2.6580000000000004,2012,14586.906620366604,Developed,101.08675116214552,13.66222784745538
North Macedonia,2.054,2012,11915.658550617734,Developing,21.70998923872772,41.59402890143112
Timor-Leste,5.555999999999999,2012,2335.9091599212247,Developing,125.9502404956266,-8.809894630601962
Togo,5.77,2012,1630.815193117099,Developing,0.8990857571109684,8.660743037717811
Tonga,4.632,2012,4994.812565908512,Developing,-175.20415878511247,-21.15927212823853
Trinidad and Tobago,2.352,2012,29755.40686174896,Developed,-61.37236579976247,10.415515638298093
Tunisia,3.446,2012,10416.946439285388,Developing,9.65587551697984,34.08636179565723
Turkey,3.048,2012,20599.64838325208,Developed,35.56886764076691,38.93207363123396
Turkmenistan,3.7359999999999998,2012,11635.794621768928,Developing,58.4577357627054,39.06069118001429
Turks and Caicos Islands,1.43,2012,20573.44595073067,Developed,-71.74058946811508,21.799865427483745
Tuvalu,3.3880000000000003,2012,3144.9117773766043,Developing,179.217833977593,-8.514701506447222
Uganda,6.846000000000001,2012,2030.6509578200037,Developing,32.34371768463123,1.2821729218416205
Ukraine,1.6775,2012,9705.3583984375,Developing,31.27377208442636,48.657532515563794
United Arab Emirates,3.1725,2012,74853.57509866531,Developed,54.27920525789581,24.18250292309135
United Kingdom,1.9240000000000002,2012,38332.48150910716,Developed,-2.852943909329258,53.97844735080214
